Game Name, Month, Day, Year, Num1, Num2, Num3, Num4, Num5, Powerball, Power Play
Powerball,8,21,2013,30,48,42,46,40,23
Powerball,8,24,2013,45,17,59,12,25,19
Powerball,8,28,2013,32,19,7,9,6,13
Powerball,8,31,2013,40,25,7,56,2,20
Powerball,9,4,2013,2,45,26,9,47,11
Powerball,9,7,2013,2,22,19,45,26,24
Powerball,9,11,2013,19,33,42,52,11,33
Powerball,9,14,2013,1,25,44,17,37,20
Powerball,9,18,2013,7,10,35,32,22,19
Powerball,9,21,2013,58,54,45,17,12,13
Powerball,9,25,2013,49,7,17,53,2,23
Powerball,9,28,2013,47,53,14,52,54,5
Powerball,10,2,2013,6,51,42,4,25,17
Powerball,10,5,2013,11,39,40,17,12,5
Powerball,10,9,2013,9,38,3,33,19,18
Powerball,10,12,2013,10,58,26,57,8,4
Powerball,10,16,2013,3,42,26,34,28,28
Powerball,10,19,2013,33,9,56,54,57,5
Powerball,10,23,2013,47,34,23,31,3,13
Powerball,10,26,2013,56,6,4,34,49,29
Powerball,10,30,2013,54,2,49,36,40,10
Powerball,11,2,2013,27,40,13,23,24,17
Powerball,11,6,2013,49,1,5,10,15,22
Powerball,11,9,2013,37,56,3,49,9,32
Powerball,11,13,2013,31,5,55,50,56,9
Powerball,11,16,2013,29,37,59,10,44,10
Powerball,11,20,2013,32,4,45,23,18,7
Powerball,11,23,2013,12,52,55,43,5,10
Powerball,11,27,2013,57,25,18,55,50,17
Powerball,11,30,2013,26,5,45,44,57,29
Powerball,12,4,2013,9,6,11,44,31,25
Powerball,12,7,2013,45,13,48,32,20,17
Powerball,12,11,2013,10,18,19,1,13,27
Powerball,12,14,2013,33,41,25,14,32,34
Powerball,12,18,2013,39,7,40,24,37,1
Powerball,12,21,2013,36,51,45,25,40,8
Powerball,12,25,2013,38,56,28,39,23,32
Powerball,12,28,2013,56,51,35,44,8,18
Powerball,1,1,2014,52,48,15,24,40,23
Powerball,1,4,2014,19,58,37,20,41,14
Powerball,1,8,2014,39,28,58,47,10,22
Powerball,1,11,2014,54,15,48,33,10,34
Powerball,1,15,2014,29,8,9,7,24,25
Powerball,1,18,2014,38,14,13,19,31,25
Powerball,1,22,2014,55,2,7,1,9,29,3
Powerball,1,25,2014,57,8,55,12,18,2,2
Powerball,1,29,2014,47,23,11,28,32,20,2
Powerball,2,1,2014,12,15,38,5,27,7,2
Powerball,2,5,2014,8,57,17,59,32,24,3
Powerball,2,8,2014,54,37,34,25,24,29,2
Powerball,2,12,2014,52,49,36,57,44,1,2
Powerball,2,15,2014,9,23,2,14,21,3,3
Powerball,2,19,2014,17,49,54,35,1,34,3
Powerball,2,22,2014,13,2,54,14,3,4,5
Powerball,2,26,2014,42,11,12,38,17,2,2
Powerball,3,1,2014,3,8,25,47,30,13,4
Powerball,3,5,2014,26,3,9,7,54,19,2
Powerball,3,8,2014,14,24,32,41,10,30,2
Powerball,3,12,2014,28,54,14,15,37,10,2
Powerball,3,15,2014,34,5,51,2,58,9,4
Powerball,3,19,2014,34,23,43,19,2,14,2
Powerball,3,22,2014,55,13,28,58,31,15,2
Powerball,3,26,2014,33,41,59,44,28,21,2
Powerball,3,29,2014,3,12,27,38,2,17,2
Powerball,4,2,2014,19,22,13,53,8,24,2
Powerball,4,5,2014,26,11,21,34,33,29,5
Powerball,4,9,2014,49,14,48,9,44,29,2
Powerball,4,12,2014,26,45,14,55,54,20,2
Powerball,4,16,2014,42,34,59,39,44,8,3
Powerball,4,19,2014,35,6,51,5,29,21,5
Powerball,4,23,2014,29,48,36,19,25,12,4
Powerball,4,26,2014,30,3,22,7,33,20,3
Powerball,4,30,2014,9,2,19,50,11,32,3
Powerball,5,3,2014,15,5,46,49,16,26,4
Powerball,5,7,2014,48,31,17,49,29,34,2
Powerball,5,10,2014,41,47,55,31,4,1,2
Powerball,5,14,2014,55,7,52,33,39,33,3
Powerball,5,17,2014,32,23,47,39,49,22,3
Powerball,5,21,2014,20,34,58,4,39,31,5
